Extracurricular_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,study_hours,sleep_hours,Academic Pressure,Financial Stress,Depression
3.5,0.2,5.1,2.84,Low,6,9,4.0,4.0,0
3.5,0.2,5.1,2.84,Low,6,9,4.0,1.0,1
1.0,3.2,3.4,3.24,High,8,8,1.0,2.0,1
1.0,3.2,3.4,3.24,High,8,8,3.0,3.0,0
1.0,3.2,3.4,3.24,High,8,8,3.0,4.0,0
1.0,3.2,3.4,3.24,High,8,8,1.0,4.0,1
0.4,3.2,2.7,3.32,High,9,9,3.0,4.0,1
3.7,5.6,1.0,3.29,High,8,6,5.0,5.0,1
3.7,5.6,1.0,3.29,High,8,6,2.0,5.0,0
0.3,4.2,4.6,3.29,High,8,6,5.0,5.0,1
0.3,4.2,4.6,3.29,High,8,6,2.0,5.0,0
3.9,0.2,1.3,3.8,High,10,9,4.0,2.0,1
1.8,6.0,1.4,3.25,High,8,6,1.0,3.0,0
1.8,6.0,1.4,3.25,High,8,6,1.0,3.0,1
1.8,6.0,1.4,3.25,High,8,6,1.0,3.0,0
1.8,6.0,1.4,3.25,High,8,6,5.0,2.0,0
1.8,4.8,4.5,2.86,High,7,6,1.0,4.0,0
1.8,4.8,4.5,2.86,High,7,6,4.0,2.0,0
1.8,4.8,4.5,2.86,High,7,6,5.0,5.0,1
2.7,1.6,6.0,2.95,Low,5,8,1.0,1.0,0
0.9,0.2,7.3,3.17,High,10,6,3.0,1.0,1
0.9,0.2,7.3,3.17,High,10,6,1.0,3.0,0
0.9,0.2,7.3,3.17,High,10,6,3.0,1.0,0
3.1,2.3,0.4,3.52,High,9,9,4.0,4.0,0
3.1,2.3,0.4,3.52,High,9,9,5.0,1.0,1
3.1,2.3,0.4,3.52,High,9,9,2.0,4.0,0
1.2,5.2,1.1,2.72,Moderate,8,8,5.0,2.0,0
1.2,5.2,1.1,2.72,Moderate,8,8,4.0,5.0,1
2.8,0.1,5.2,2.98,High,8,8,3.0,5.0,0
2.8,0.1,5.2,2.98,High,8,8,3.0,3.0,1
2.8,0.1,5.2,2.98,High,8,8,4.0,4.0,0
2.8,0.1,5.2,2.98,High,8,8,5.0,5.0,1
2.8,0.9,3.5,3.11,Moderate,8,9,3.0,1.0,1
2.8,0.9,3.5,3.11,Moderate,8,9,1.0,4.0,0
2.8,0.9,3.5,3.11,Moderate,8,9,1.0,1.0,0
2.8,0.9,3.5,3.11,Moderate,8,9,1.0,2.0,0
2.8,0.9,3.5,3.11,Moderate,8,9,3.0,5.0,1
2.8,0.9,3.5,3.11,Moderate,8,9,1.0,5.0,1
2.8,0.9,3.5,3.11,Moderate,8,9,3.0,5.0,0
2.8,0.9,3.5,3.11,Moderate,8,9,1.0,2.0,0
2.8,0.9,3.5,3.11,Moderate,8,9,2.0,3.0,1
2.8,0.9,3.5,3.11,Moderate,8,9,5.0,5.0,1
0.4,4.2,5.4,2.88,Low,6,8,4.0,4.0,1
0.4,4.2,5.4,2.88,Low,6,8,4.0,3.0,1
3.5,2.7,0.7,3.15,High,8,9,1.0,5.0,0
3.5,2.7,0.7,3.15,High,8,9,5.0,4.0,1
3.5,2.7,0.7,3.15,High,8,9,3.0,3.0,1
3.5,2.7,0.7,3.15,High,8,9,4.0,4.0,1
3.5,2.7,0.7,3.15,High,8,9,2.0,5.0,1
3.5,2.7,0.7,3.15,High,8,9,5.0,5.0,1
3.5,2.7,0.7,3.15,High,8,9,3.0,5.0,0
3.5,2.7,0.7,3.15,High,8,9,3.0,1.0,0
3.5,2.7,0.7,3.15,High,8,9,5.0,4.0,1
2.6,4.4,2.1,3.13,Moderate,7,8,2.0,5.0,1
0.2,1.0,11.2,2.75,Low,5,6,3.0,4.0,1
1.3,4.7,2.2,3.57,High,10,6,2.0,5.0,1
1.3,4.7,2.2,3.57,High,10,6,4.0,5.0,1
1.3,4.7,2.2,3.57,High,10,6,1.0,1.0,1
1.3,4.7,2.2,3.57,High,10,6,3.0,4.0,0
1.3,4.7,2.2,3.57,High,10,6,5.0,4.0,1
1.9,4.4,2.1,2.85,Moderate,6,9,4.0,3.0,1
1.9,4.4,2.1,2.85,Moderate,6,9,4.0,5.0,1
1.7,3.6,2.8,3.42,High,10,6,3.0,3.0,1
1.7,3.6,2.8,3.42,High,10,6,5.0,5.0,1
1.7,3.6,2.8,3.42,High,10,6,3.0,4.0,1
1.7,3.6,2.8,3.42,High,10,6,4.0,4.0,1
1.7,3.6,2.8,3.42,High,10,6,3.0,3.0,1
1.7,3.6,2.8,3.42,High,10,6,3.0,4.0,1
1.7,3.6,2.8,3.42,High,10,6,3.0,3.0,1
1.7,3.6,2.8,3.42,High,10,6,4.0,4.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,1.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,4.0,1
0.8,3.5,2.0,3.31,High,10,8,1.0,5.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,2.0,1
0.8,3.5,2.0,3.31,High,10,8,2.0,5.0,1
0.8,3.5,2.0,3.31,High,10,8,3.0,3.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,1.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,2.0,1
0.8,3.5,2.0,3.31,High,10,8,4.0,5.0,1
0.8,3.5,2.0,3.31,High,10,8,3.0,1.0,0
3.6,1.4,4.5,3.37,High,9,6,2.0,3.0,1
0.7,2.0,2.1,3.59,High,10,9,1.0,4.0,0
0.7,2.0,2.1,3.59,High,10,9,3.0,4.0,1
0.7,2.0,2.1,3.59,High,10,9,3.0,5.0,0
1.0,4.2,3.5,2.98,Moderate,7,8,2.0,2.0,0
3.2,3.2,0.5,3.8,High,9,8,3.0,2.0,0
3.2,3.2,0.5,3.8,High,9,8,1.0,2.0,0
3.2,3.2,0.5,3.8,High,9,8,1.0,5.0,1
3.2,3.2,0.5,3.8,High,9,8,3.0,3.0,1
0.1,4.2,7.5,2.98,Low,6,6,5.0,1.0,0
0.4,2.4,3.0,3.26,High,10,8,2.0,1.0,0
0.4,2.4,3.0,3.26,High,10,8,3.0,1.0,0
0.4,2.4,3.0,3.26,High,10,8,3.0,3.0,1
0.4,2.4,3.0,3.26,High,10,8,5.0,4.0,1
0.4,2.4,3.0,3.26,High,10,8,4.0,4.0,1
0.7,4.6,0.9,3.43,High,9,8,3.0,2.0,1
0.7,4.6,0.9,3.43,High,9,8,5.0,5.0,1
0.7,4.6,0.9,3.43,High,9,8,3.0,5.0,1
0.7,4.6,0.9,3.43,High,9,8,2.0,2.0,0
2.5,2.7,2.0,3.2,Moderate,8,9,1.0,2.0,0
2.5,2.7,2.0,3.2,Moderate,8,9,4.0,5.0,1
3.7,4.1,2.6,2.91,Low,5,8,5.0,1.0,1
2.6,3.9,5.0,2.82,High,7,6,1.0,4.0,0
2.6,3.9,5.0,2.82,High,7,6,4.0,2.0,0
2.6,3.9,5.0,2.82,High,7,6,5.0,5.0,0
2.6,3.9,5.0,2.82,High,7,6,1.0,1.0,0
2.7,4.3,1.4,2.93,Moderate,7,9,4.0,2.0,1
2.7,4.3,1.4,2.93,Moderate,7,9,3.0,4.0,0
0.5,0.0,6.7,3.64,High,9,8,3.0,4.0,0
0.5,0.0,6.7,3.64,High,9,8,2.0,4.0,0
0.5,0.0,6.7,3.64,High,9,8,3.0,2.0,0
0.5,0.0,6.7,3.64,High,9,8,5.0,5.0,1
0.5,0.0,6.7,3.64,High,9,8,1.0,2.0,0
1.5,0.4,9.8,2.5,Moderate,6,6,2.0,2.0,1
1.5,0.4,9.8,2.5,Moderate,6,6,5.0,3.0,1
1.5,0.4,9.8,2.5,Moderate,6,6,4.0,5.0,1
1.5,0.4,9.8,2.5,Moderate,6,6,3.0,3.0,1
2.7,2.4,2.8,3.4,Moderate,8,8,1.0,3.0,1
2.7,2.4,2.8,3.4,Moderate,8,8,3.0,5.0,1
2.7,2.4,2.8,3.4,Moderate,8,8,2.0,4.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,5.0,2.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,5.0,5.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,3.0,1.0,0
1.6,3.2,4.4,3.31,Moderate,7,8,3.0,3.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,3.0,2.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,5.0,5.0,1
1.6,3.2,4.4,3.31,Moderate,7,8,5.0,3.0,1
1.0,1.8,7.4,3.15,Moderate,7,6,3.0,3.0,1
1.0,1.8,7.4,3.15,Moderate,7,6,2.0,4.0,0
1.0,1.8,7.4,3.15,Moderate,7,6,5.0,5.0,0
1.0,1.8,7.4,3.15,Moderate,7,6,5.0,5.0,1
1.0,1.8,7.4,3.15,Moderate,7,6,5.0,4.0,1
2.4,1.6,4.8,3.27,Moderate,7,9,2.0,2.0,0
2.4,1.6,4.8,3.27,Moderate,7,9,4.0,5.0,1
2.4,1.6,4.8,3.27,Moderate,7,9,3.0,5.0,0
0.4,1.5,5.8,3.01,High,8,8,2.0,4.0,0
0.4,1.5,5.8,3.01,High,8,8,5.0,5.0,1
0.4,1.5,5.8,3.01,High,8,8,3.0,3.0,1
0.4,1.5,5.8,3.01,High,8,8,3.0,4.0,1
0.4,1.5,5.8,3.01,High,8,8,3.0,5.0,1
0.4,1.5,5.8,3.01,High,8,8,5.0,3.0,1
0.4,1.5,5.8,3.01,High,8,8,3.0,2.0,0
1.9,1.8,1.5,3.5,High,10,9,2.0,1.0,0
1.9,1.8,1.5,3.5,High,10,9,3.0,2.0,0
1.9,1.8,1.5,3.5,High,10,9,1.0,2.0,0
1.9,1.8,1.5,3.5,High,10,9,3.0,5.0,1
1.9,1.8,1.5,3.5,High,10,9,2.0,1.0,0
1.9,1.8,1.5,3.5,High,10,9,5.0,4.0,1
1.9,1.8,1.5,3.5,High,10,9,5.0,3.0,1
1.9,1.8,1.5,3.5,High,10,9,4.0,5.0,1
2.4,2.4,0.3,3.38,High,10,9,5.0,4.0,1
2.4,2.4,0.3,3.38,High,10,9,3.0,4.0,1
2.4,2.4,0.3,3.38,High,10,9,3.0,2.0,0
2.4,2.4,0.3,3.38,High,10,9,3.0,1.0,1
2.4,2.4,0.3,3.38,High,10,9,1.0,1.0,0
2.4,2.4,0.3,3.38,High,10,9,5.0,1.0,1
2.4,2.4,0.3,3.38,High,10,9,2.0,3.0,0
1.1,2.1,2.8,3.2,High,9,9,4.0,1.0,1
1.1,2.1,2.8,3.2,High,9,9,3.0,5.0,1
0.4,2.7,4.5,3.01,High,8,8,2.0,4.0,0
0.4,2.7,4.5,3.01,High,8,8,5.0,5.0,1
0.4,2.7,4.5,3.01,High,8,8,3.0,3.0,1
0.4,2.7,4.5,3.01,High,8,8,3.0,4.0,1
0.4,2.7,4.5,3.01,High,8,8,3.0,5.0,1
0.4,2.7,4.5,3.01,High,8,8,5.0,3.0,1
0.4,2.7,4.5,3.01,High,8,8,3.0,2.0,0
3.5,0.5,5.2,3.37,High,9,6,2.0,3.0,1
1.3,2.1,8.5,2.91,Moderate,6,6,1.0,2.0,1
1.3,2.1,8.5,2.91,Moderate,6,6,3.0,4.0,0
1.3,2.1,8.5,2.91,Moderate,6,6,4.0,4.0,0
1.3,2.1,8.5,2.91,Moderate,6,6,4.0,2.0,0
2.6,2.6,1.0,3.26,High,10,8,2.0,1.0,0
2.6,2.6,1.0,3.26,High,10,8,3.0,1.0,0
2.6,2.6,1.0,3.26,High,10,8,3.0,3.0,1
2.6,2.6,1.0,3.26,High,10,8,5.0,4.0,1
2.6,2.6,1.0,3.26,High,10,8,4.0,4.0,1
0.2,5.7,3.0,3.2,Moderate,7,8,2.0,2.0,0
1.4,4.4,1.1,3.1,High,9,8,2.0,5.0,0
3.7,2.2,0.4,3.44,High,10,8,3.0,5.0,1
3.7,2.2,0.4,3.44,High,10,8,5.0,3.0,1
3.7,2.2,0.4,3.44,High,10,8,4.0,1.0,1
3.7,2.2,0.4,3.44,High,10,8,5.0,1.0,0
3.7,2.2,0.4,3.44,High,10,8,4.0,4.0,0
3.7,2.2,0.4,3.44,High,10,8,3.0,5.0,1
3.7,2.2,0.4,3.44,High,10,8,3.0,4.0,1
3.7,2.2,0.4,3.44,High,10,8,5.0,4.0,0
3.7,2.2,0.4,3.44,High,10,8,4.0,5.0,1
3.7,2.2,0.4,3.44,High,10,8,5.0,4.0,1
3.7,2.2,0.4,3.44,High,10,8,5.0,5.0,1
1.8,3.1,4.1,3.15,Moderate,7,8,2.0,2.0,0
1.8,3.1,4.1,3.15,Moderate,7,8,2.0,1.0,0
1.8,3.1,4.1,3.15,Moderate,7,8,5.0,2.0,1
1.8,3.1,4.1,3.15,Moderate,7,8,5.0,1.0,0
1.8,3.1,4.1,3.15,Moderate,7,8,2.0,3.0,1
3.9,4.3,0.9,2.83,Moderate,7,8,2.0,1.0,0
0.2,2.8,6.3,3.11,Low,6,9,2.0,4.0,0
0.2,2.8,6.3,3.11,Low,6,9,5.0,2.0,1
0.2,2.8,6.3,3.11,Low,6,9,1.0,4.0,0
0.2,6.0,1.8,3.21,High,8,8,3.0,3.0,0
2.5,3.7,2.2,2.85,High,9,6,5.0,5.0,1
1.7,4.4,2.0,2.9,Moderate,7,9,3.0,1.0,1
1.7,4.4,2.0,2.9,Moderate,7,9,1.0,2.0,1
1.7,4.4,2.0,2.9,Moderate,7,9,2.0,1.0,0
1.7,4.4,2.0,2.9,Moderate,7,9,5.0,3.0,1
1.7,4.4,2.0,2.9,Moderate,7,9,2.0,3.0,1
1.7,4.4,2.0,2.9,Moderate,7,9,3.0,4.0,0
1.7,4.4,2.0,2.9,Moderate,7,9,4.0,3.0,0
1.7,4.4,2.0,2.9,Moderate,7,9,4.0,4.0,0
1.7,4.4,2.0,2.9,Moderate,7,9,3.0,5.0,1
3.8,0.6,1.2,3.3,High,10,9,4.0,5.0,1
3.8,0.6,1.2,3.3,High,10,9,4.0,4.0,1
3.8,0.6,1.2,3.3,High,10,9,5.0,1.0,1
3.8,0.6,1.2,3.3,High,10,9,2.0,4.0,1
3.8,0.6,1.2,3.3,High,10,9,3.0,2.0,0
3.8,0.6,1.2,3.3,High,10,9,2.0,5.0,1
3.8,0.6,1.2,3.3,High,10,9,2.0,5.0,1
3.8,0.6,1.2,3.3,High,10,9,3.0,1.0,0
2.5,5.3,0.6,3.36,Moderate,7,8,3.0,2.0,0
2.1,4.4,6.4,3.11,High,5,6,5.0,1.0,0
2.1,4.4,6.4,3.11,High,5,6,3.0,4.0,0
2.1,4.4,6.4,3.11,High,5,6,5.0,5.0,1
2.1,4.4,6.4,3.11,High,5,6,5.0,2.0,1
2.1,4.4,6.4,3.11,High,5,6,2.0,1.0,0
0.4,4.6,4.8,2.99,Low,6,8,3.0,5.0,0
0.4,4.6,4.8,2.99,Low,6,8,5.0,4.0,1
0.4,4.6,4.8,2.99,Low,6,8,1.0,3.0,0
1.5,0.7,7.7,3.06,High,8,6,3.0,4.0,1
1.5,0.7,7.7,3.06,High,8,6,2.0,5.0,0
1.5,0.7,7.7,3.06,High,8,6,2.0,5.0,1
3.1,2.4,2.2,3.09,High,8,8,3.0,4.0,1
2.6,2.0,4.7,3.16,High,9,6,3.0,4.0,0
0.8,3.9,4.3,3.01,Low,6,9,5.0,2.0,1
0.8,3.9,4.3,3.01,Low,6,9,2.0,1.0,0
0.8,3.9,4.3,3.01,Low,6,9,5.0,5.0,0
0.8,3.9,4.3,3.01,Low,6,9,3.0,3.0,0
0.8,3.9,4.3,3.01,Low,6,9,1.0,2.0,0
1.8,3.1,1.1,3.45,High,9,9,1.0,3.0,0
1.8,3.1,1.1,3.45,High,9,9,3.0,5.0,0
1.8,3.1,1.1,3.45,High,9,9,3.0,5.0,1
1.8,3.1,1.1,3.45,High,9,9,5.0,5.0,1
1.8,3.1,1.1,3.45,High,9,9,1.0,4.0,0
3.4,2.4,2.0,3.24,Moderate,8,9,1.0,5.0,0
3.4,2.4,2.0,3.24,Moderate,8,9,4.0,5.0,1
2.0,3.4,4.1,3.35,Moderate,8,6,4.0,5.0,1
2.0,3.4,4.1,3.35,Moderate,8,6,5.0,5.0,0
3.0,2.8,4.2,3.31,High,8,6,5.0,4.0,1
0.8,4.4,2.0,3.18,High,9,8,2.0,2.0,0
0.8,4.4,2.0,3.18,High,9,8,1.0,3.0,1
0.8,4.4,2.0,3.18,High,9,8,4.0,4.0,1
0.8,4.4,2.0,3.18,High,9,8,5.0,4.0,1
0.8,4.4,2.0,3.18,High,9,8,1.0,4.0,0
0.8,4.4,2.0,3.18,High,9,8,3.0,4.0,1
0.1,1.2,5.2,3.32,High,9,9,3.0,4.0,1
0.4,2.9,3.8,3.6,High,9,8,5.0,3.0,1
0.3,3.4,4.2,3.64,High,8,8,5.0,5.0,1
3.2,5.0,1.1,3.5,High,8,6,1.0,3.0,0
3.2,5.0,1.1,3.5,High,8,6,1.0,2.0,0
3.2,5.0,1.1,3.5,High,8,6,4.0,3.0,1
3.2,5.0,1.1,3.5,High,8,6,1.0,1.0,0
3.2,5.0,1.1,3.5,High,8,6,5.0,4.0,0
3.2,5.0,1.1,3.5,High,8,6,1.0,5.0,1
3.2,5.0,1.1,3.5,High,8,6,5.0,3.0,1
3.1,2.5,4.6,3.16,High,8,6,4.0,3.0,1
3.1,2.5,4.6,3.16,High,8,6,4.0,2.0,0
3.1,2.5,4.6,3.16,High,8,6,5.0,2.0,1
3.1,2.5,4.6,3.16,High,8,6,2.0,2.0,0
2.4,2.2,5.6,3.4,High,8,6,3.0,5.0,1
2.4,2.2,5.6,3.4,High,8,6,3.0,4.0,0
2.4,2.2,5.6,3.4,High,8,6,5.0,2.0,1
3.4,4.3,1.0,3.18,High,9,6,1.0,4.0,0
3.4,4.3,1.0,3.18,High,9,6,4.0,5.0,1
3.4,4.3,1.0,3.18,High,9,6,4.0,3.0,1
0.3,3.0,6.4,2.28,Low,6,9,5.0,1.0,0
0.3,3.0,6.4,2.28,Low,6,9,5.0,1.0,1
0.3,3.0,6.4,2.28,Low,6,9,2.0,1.0,0
0.3,3.0,6.4,2.28,Low,6,9,5.0,3.0,1
2.9,0.8,4.3,2.88,Moderate,7,9,4.0,1.0,0
2.9,0.8,4.3,2.88,Moderate,7,9,1.0,2.0,0
2.9,0.8,4.3,2.88,Moderate,7,9,1.0,2.0,0
1.1,1.5,9.8,2.75,Low,5,6,3.0,4.0,1
3.9,3.3,1.8,3.2,High,9,6,5.0,3.0,1
2.2,0.6,4.3,3.48,High,9,8,4.0,1.0,0
2.2,0.6,4.3,3.48,High,9,8,5.0,3.0,1
2.2,0.6,4.3,3.48,High,9,8,1.0,1.0,0
2.2,0.6,4.3,3.48,High,9,8,1.0,5.0,1
2.2,0.6,4.3,3.48,High,9,8,5.0,5.0,1
2.2,0.6,4.3,3.48,High,9,8,3.0,5.0,1
2.2,0.6,4.3,3.48,High,9,8,1.0,1.0,1
2.2,0.6,4.3,3.48,High,9,8,5.0,5.0,1
2.2,0.6,4.3,3.48,High,9,8,4.0,3.0,1
2.2,0.6,4.3,3.48,High,9,8,3.0,1.0,0
2.8,0.5,7.7,2.93,Low,5,8,3.0,2.0,0
2.8,0.5,7.7,2.93,Low,5,8,4.0,3.0,1
1.9,5.7,3.3,3.18,High,7,6,4.0,3.0,1
1.6,3.3,3.5,3.28,Moderate,7,8,3.0,1.0,0
1.3,3.1,5.0,2.71,Low,6,9,5.0,2.0,1
1.3,3.1,5.0,2.71,Low,6,9,4.0,4.0,1
1.3,3.1,5.0,2.71,Low,6,9,1.0,3.0,0
1.3,3.1,5.0,2.71,Low,6,9,4.0,5.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,3.0,3.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,5.0,5.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,4.0,5.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,2.0,2.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,1.0,4.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,4.0,1.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,3.0,3.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,1.0,1.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,3.0,3.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,4.0,5.0,1
3.5,4.4,0.7,2.84,Moderate,6,9,1.0,1.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,4.0,4.0,0
3.5,4.4,0.7,2.84,Moderate,6,9,4.0,1.0,1
3.6,2.7,2.7,3.15,Moderate,7,8,2.0,2.0,0
3.6,2.7,2.7,3.15,Moderate,7,8,2.0,1.0,0
3.6,2.7,2.7,3.15,Moderate,7,8,5.0,2.0,1
3.6,2.7,2.7,3.15,Moderate,7,8,5.0,1.0,0
3.6,2.7,2.7,3.15,Moderate,7,8,2.0,3.0,1
2.1,4.8,4.7,3.27,Moderate,6,6,1.0,5.0,1
2.1,4.8,4.7,3.27,Moderate,6,6,1.0,3.0,0
2.1,4.8,4.7,3.27,Moderate,6,6,4.0,1.0,1
2.1,4.8,4.7,3.27,Moderate,6,6,2.0,1.0,0
2.1,4.8,4.7,3.27,Moderate,6,6,2.0,3.0,0
2.8,1.9,4.5,2.8,Low,6,9,4.0,5.0,1
2.8,1.9,4.5,2.8,Low,6,9,2.0,3.0,1
2.8,1.9,4.5,2.8,Low,6,9,5.0,5.0,1
2.8,1.9,4.5,2.8,Low,6,9,1.0,3.0,0
2.8,1.9,4.5,2.8,Low,6,9,4.0,5.0,1
2.8,1.9,4.5,2.8,Low,6,9,3.0,1.0,0
2.8,1.9,4.5,2.8,Low,6,9,2.0,2.0,0
3.6,0.9,5.3,2.8,Low,6,8,2.0,5.0,0
3.6,0.9,5.3,2.8,Low,6,8,1.0,2.0,0
3.6,0.9,5.3,2.8,Low,6,8,2.0,1.0,0
3.6,0.9,5.3,2.8,Low,6,8,2.0,2.0,0
3.6,0.9,5.3,2.8,Low,6,8,4.0,3.0,0
3.4,3.0,2.6,2.68,Low,6,9,2.0,2.0,0
3.4,3.0,2.6,2.68,Low,6,9,1.0,1.0,0
1.3,0.4,5.5,3.32,High,8,8,1.0,2.0,1
1.3,0.4,5.5,3.32,High,8,8,5.0,5.0,1
3.3,3.9,4.3,2.86,Moderate,6,6,3.0,3.0,0
2.1,1.3,5.6,3.38,High,8,6,4.0,1.0,0
2.1,1.3,5.6,3.38,High,8,6,3.0,5.0,0
2.1,1.3,5.6,3.38,High,8,6,3.0,3.0,1
2.1,1.3,5.6,3.38,High,8,6,2.0,5.0,1
3.1,1.7,0.9,3.45,High,9,9,1.0,3.0,0
3.1,1.7,0.9,3.45,High,9,9,3.0,5.0,0
3.1,1.7,0.9,3.45,High,9,9,3.0,5.0,1
3.1,1.7,0.9,3.45,High,9,9,5.0,5.0,1
3.1,1.7,0.9,3.45,High,9,9,1.0,4.0,0
3.5,2.1,3.4,2.9,Moderate,7,8,2.0,3.0,0
3.5,2.1,3.4,2.9,Moderate,7,8,3.0,5.0,0
3.5,2.1,3.4,2.9,Moderate,7,8,5.0,4.0,0
3.5,2.1,3.4,2.9,Moderate,7,8,4.0,1.0,1
3.5,2.1,3.4,2.9,Moderate,7,8,2.0,1.0,1
3.5,2.1,3.4,2.9,Moderate,7,8,3.0,5.0,1
3.5,2.1,3.4,2.9,Moderate,7,8,5.0,3.0,0
3.4,5.5,2.2,3.0,Moderate,6,6,4.0,3.0,1
3.4,5.5,2.2,3.0,Moderate,6,6,4.0,1.0,1
1.1,0.5,3.9,3.58,High,9,9,4.0,2.0,0
1.1,0.5,3.9,3.58,High,9,9,1.0,1.0,0
1.1,0.5,3.9,3.58,High,9,9,4.0,5.0,1
1.1,0.5,3.9,3.58,High,9,9,4.0,5.0,1
2.2,1.5,6.3,3.27,High,8,6,3.0,2.0,0
2.2,1.5,6.3,3.27,High,8,6,5.0,5.0,1
2.2,1.5,6.3,3.27,High,8,6,5.0,5.0,1
2.2,1.5,6.3,3.27,High,8,6,3.0,1.0,0
2.2,1.5,6.3,3.27,High,8,6,3.0,1.0,1
2.2,1.5,6.3,3.27,High,8,6,3.0,4.0,1
2.4,1.8,6.8,2.91,Moderate,6,6,1.0,2.0,1
2.4,1.8,6.8,2.91,Moderate,6,6,3.0,4.0,0
2.4,1.8,6.8,2.91,Moderate,6,6,4.0,4.0,0
2.4,1.8,6.8,2.91,Moderate,6,6,4.0,2.0,0
0.1,6.0,1.0,3.36,High,9,8,5.0,1.0,1
2.8,3.1,3.9,3.46,Moderate,8,6,5.0,2.0,1
2.0,0.4,4.7,3.42,High,9,8,5.0,2.0,1
2.0,0.4,4.7,3.42,High,9,8,1.0,2.0,0
2.0,0.4,4.7,3.42,High,9,8,3.0,4.0,1
2.0,0.4,4.7,3.42,High,9,8,2.0,3.0,1
2.0,0.4,4.7,3.42,High,9,8,3.0,3.0,0
1.1,3.1,5.7,3.15,High,8,6,5.0,4.0,1
2.3,1.5,3.6,3.2,High,9,8,1.0,5.0,1
0.5,2.4,4.7,3.14,High,10,6,1.0,4.0,1
0.5,2.4,4.7,3.14,High,10,6,3.0,4.0,1
0.5,2.4,4.7,3.14,High,10,6,1.0,2.0,1
0.5,2.4,4.7,3.14,High,10,6,1.0,4.0,1
0.5,2.4,4.7,3.14,High,10,6,5.0,5.0,1
0.5,2.4,4.7,3.14,High,10,6,5.0,4.0,1
2.9,1.1,2.5,3.11,High,10,8,4.0,4.0,1
2.9,1.1,2.5,3.11,High,10,8,5.0,3.0,1
2.9,1.1,2.5,3.11,High,10,8,4.0,2.0,1
2.9,1.1,2.5,3.11,High,10,8,1.0,3.0,0
2.9,1.1,2.5,3.11,High,10,8,5.0,5.0,1
2.9,1.1,2.5,3.11,High,10,8,4.0,5.0,0
2.9,1.1,2.5,3.11,High,10,8,5.0,3.0,0
2.9,1.1,2.5,3.11,High,10,8,3.0,4.0,0
2.9,1.1,2.5,3.11,High,10,8,4.0,3.0,1
2.9,1.1,2.5,3.11,High,10,8,3.0,1.0,1
2.9,1.1,2.5,3.11,High,10,8,2.0,4.0,1
2.9,1.1,2.5,3.11,High,10,8,1.0,2.0,0
2.9,1.1,2.5,3.11,High,10,8,2.0,4.0,0
2.9,1.1,2.5,3.11,High,10,8,3.0,5.0,1
2.9,1.1,2.5,3.11,High,10,8,3.0,5.0,1
3.8,0.0,2.0,3.27,High,9,9,1.0,5.0,0
3.8,0.0,2.0,3.27,High,9,9,3.0,2.0,1
2.7,1.2,2.0,3.44,High,10,8,3.0,5.0,1
2.7,1.2,2.0,3.44,High,10,8,5.0,3.0,1
2.7,1.2,2.0,3.44,High,10,8,4.0,1.0,1
2.7,1.2,2.0,3.44,High,10,8,5.0,1.0,0
2.7,1.2,2.0,3.44,High,10,8,4.0,4.0,0
2.7,1.2,2.0,3.44,High,10,8,3.0,5.0,1
2.7,1.2,2.0,3.44,High,10,8,3.0,4.0,1
2.7,1.2,2.0,3.44,High,10,8,5.0,4.0,0
2.7,1.2,2.0,3.44,High,10,8,4.0,5.0,1
2.7,1.2,2.0,3.44,High,10,8,5.0,4.0,1
2.7,1.2,2.0,3.44,High,10,8,5.0,5.0,1
3.7,3.5,0.5,3.23,High,8,8,1.0,4.0,1
3.7,3.5,0.5,3.23,High,8,8,5.0,2.0,1
3.7,3.5,0.5,3.23,High,8,8,2.0,4.0,1
0.2,3.4,6.9,3.44,High,8,6,4.0,5.0,1
0.2,3.4,6.9,3.44,High,8,6,5.0,5.0,1
0.2,3.4,6.9,3.44,High,8,6,4.0,4.0,0
0.2,3.4,6.9,3.44,High,8,6,5.0,3.0,1
0.2,3.4,6.9,3.44,High,8,6,5.0,2.0,0
0.2,3.4,6.9,3.44,High,8,6,3.0,4.0,1
